D_number,date_UTC,Latitude,Longitude,U_speed_mps,U_Dir_deg,batteryState
298,2023-04-25 05:38:39,54.44157,10.50821,0.299257504779592,108.813031785682,GOOD
298,2023-04-25 05:43:41,54.44135,10.50924,0.235602774489867,108.898162852268,GOOD
298,2023-04-25 05:48:48,54.44118,10.51027,0.226171614286752,104.582156945685,GOOD
298,2023-04-25 05:53:41,54.44099,10.51119,0.216069587263715,108.281232668356,GOOD
298,2023-04-25 06:00:52,54.44064,10.51284,0.264246879578373,108.767617211054,GOOD
298,2023-04-25 06:03:45,54.44053,10.51349,0.253769290426336,104.959014074577,GOOD
298,2023-04-25 06:08:44,54.44036,10.51465,0.259475837871582,102.881484714814,GOOD
298,2023-04-25 06:18:50,54.44004,10.51716,0.275011391297977,101.104427038408,GOOD
298,2023-04-25 06:28:50,54.43963,10.51969,0.289590893825593,104.368384077404,GOOD
298,2023-04-25 06:33:47,54.43934,10.52098,0.301963984329032,109.853557356064,GOOD
298,2023-04-25 06:39:01,54.43884,10.52205,0.283298632500704,127.480333651894,GOOD
298,2023-04-25 06:49:02,54.43838,10.52411,0.238093363634193,109.722014844837,GOOD
298,2023-04-25 06:54:00,54.43832,10.52516,0.229652936654383,94.3585136277663,GOOD
298,2023-04-25 06:58:47,54.43863,10.52625,0.274116737539248,62.7505655978433,GOOD
298,2023-04-25 07:06:54,54.43862,10.52836,0.281052362705624,89.2232872921413,GOOD
298,2023-04-25 07:18:45,54.43843,10.5313,0.269867916487131,95.0818939190574,GOOD
298,2023-04-25 07:23:46,54.43853,10.53256,0.27403999940547,81.0002574493164,GOOD
298,2023-04-25 07:38:49,54.43818,10.53632,0.261607154606073,96.082324754224,GOOD
298,2023-04-25 07:43:45,54.43827,10.53752,0.265142426560898,81.4179125681285,GOOD
298,2023-04-25 08:23:44,54.43777,10.54617,0.188927426604083,98.9204407648049,GOOD
298,2023-04-25 08:33:58,54.43761,10.54795,0.192105923322375,103.278871697828,GOOD
298,2023-04-25 08:43:47,54.43776,10.54962,0.186091928854048,79.9802544255983,GOOD
298,2023-04-25 08:48:46,54.43771,10.55042,0.174554594261343,94.8588575348036,GOOD
298,2023-04-25 08:53:38,54.43764,10.55132,0.201707794080475,96.3383313600777,GOOD
298,2023-04-25 09:22:17,54.43658,10.5573,0.235866808414349,105.649198351883,GOOD
298,2023-04-25 09:28:33,54.4367,10.5582,0.15928341185723,75.8490673696762,GOOD
298,2023-04-25 09:33:30,54.43624,10.55908,0.258167847099004,130.615264716349,GOOD
298,2023-04-25 09:53:28,54.43666,10.56256,0.192433751606019,77.0330060218653,GOOD
298,2023-04-25 10:08:27,54.43687,10.56509,0.167158296572109,83.6345219378965,GOOD
298,2023-04-25 10:13:25,54.4369,10.56602,0.202754784643709,85.5589340534331,GOOD
298,2023-04-25 10:18:22,54.43697,10.567,0.215648179034598,81.7396692481435,GOOD
298,2023-04-25 10:28:28,54.43724,10.5685,0.201996390153235,73.684562875821,GOOD
298,2023-04-25 10:38:38,54.43752,10.56973,0.140421170455574,67.3917168549749,GOOD
298,2023-04-25 10:43:18,54.43773,10.57044,0.184450811983122,61.8191248034154,GOOD
298,2023-04-25 10:48:21,54.4378,10.57093,0.108006651569095,74.9518260837296,GOOD
298,2023-04-25 10:53:17,54.43791,10.57168,0.169484378897863,74.5985966637895,GOOD
298,2023-04-25 10:58:17,54.43805,10.57237,0.157975868489292,69.529139727548,GOOD
298,2023-04-25 11:03:15,54.43818,10.5729,0.125166459465393,65.899591827631,GOOD
298,2023-04-25 11:18:12,54.43851,10.57511,0.164978366369852,74.3511001206299,GOOD
298,2023-04-25 11:28:16,54.43869,10.5764,0.0987878704350512,68.9659499419696,GOOD
298,2023-04-25 11:38:19,54.43864,10.57805,0.192102347611362,103.254714823011,GOOD
298,2023-04-25 12:03:19,54.43861,10.58185,0.110273782287046,88.7132724833162,GOOD
298,2023-04-25 12:08:12,54.43871,10.58262,0.174649005769975,76.1523975699137,GOOD
298,2023-04-25 12:18:14,54.43863,10.5844,0.186542791078459,93.2735034079985,GOOD
298,2023-04-25 12:24:20,54.43851,10.5858,0.250793514796052,97.0756841104492,GOOD
298,2023-04-25 12:48:11,54.43794,10.59009,0.196356287267048,107.439397421156,GOOD
298,2023-04-25 12:58:13,54.43764,10.59219,0.232981298140001,102.475864389715,GOOD
298,2023-04-25 13:13:12,54.43768,10.59556,0.20325477149244,88.7023065782103,GOOD
298,2023-04-25 13:18:14,54.43752,10.59649,0.208280025512014,105.145117565444,GOOD
298,2023-04-25 13:28:12,54.43716,10.59855,0.242467348980533,98.0664055858483,GOOD
298,2023-04-25 13:43:14,54.43678,10.60168,0.231475310673687,104.506225209583,GOOD
298,2023-04-25 13:53:14,54.43659,10.60352,0.202032368013586,98.7414770157276,GOOD
298,2023-04-25 13:58:19,54.43641,10.6043,0.178425110636136,110.292651727888,GOOD
298,2023-04-25 14:03:14,54.43642,10.60507,0.169365393553369,87.4182508466567,GOOD
298,2023-04-25 14:08:17,54.43624,10.60575,0.159891428114984,113.116397212693,GOOD
298,2023-04-25 14:18:12,54.43617,10.60734,0.166502375922044,88.6926766557283,GOOD
298,2023-04-25 14:33:08,54.43602,10.6096,0.111274886980125,96.3535838030182,GOOD
298,2023-04-25 14:38:13,54.43608,10.6103,0.150485768402204,80.3254882391353,GOOD
298,2023-04-25 14:48:06,54.43603,10.61181,0.149204048465854,88.6890092181851,GOOD
298,2023-04-25 14:53:13,54.43607,10.61245,0.136011652122434,82.5688400271766,GOOD
298,2023-04-25 14:58:10,54.43575,10.61322,0.206549513602658,124.173426792522,GOOD
298,2023-04-25 15:03:07,54.43568,10.61387,0.144377808515203,99.1540977938252,GOOD
298,2023-04-25 15:08:05,54.43562,10.6146,0.160486317140055,96.7122529392406,GOOD
298,2023-04-25 15:13:06,54.43556,10.61537,0.167427802404813,96.2997457641036,GOOD
298,2023-04-25 15:18:04,54.43574,10.61601,0.154690057191045,62.9298597973637,GOOD
298,2023-04-25 15:23:05,54.43566,10.61674,0.160086523042201,99.3319584864832,GOOD
298,2023-04-25 15:38:06,54.43539,10.61923,0.18655849704684,93.2448541869541,GOOD
298,2023-04-25 15:43:11,54.43511,10.61998,0.189432409308535,121.318805238014,GOOD
298,2023-04-25 15:48:07,54.43481,10.62054,0.166686482136734,131.263850139172,GOOD
298,2023-04-25 15:53:05,54.43466,10.62142,0.199594089065633,104.980046093281,GOOD
298,2023-04-25 16:03:20,54.43427,10.62284,0.169759214113295,121.302041519279,GOOD
298,2023-04-25 16:18:13,54.43392,10.62496,0.120368902017915,112.295603897203,GOOD
298,2023-04-25 16:48:13,54.43377,10.63011,0.133976282943916,103.103524510159,GOOD
298,2023-04-25 16:58:12,54.43379,10.63178,0.180908622140314,87.4963240911178,GOOD
298,2023-04-25 17:08:11,54.43385,10.63348,0.185975021159764,88.6714818755143,GOOD
298,2023-04-25 17:13:09,54.43386,10.63429,0.176377641594365,87.4576159214148,GOOD
298,2023-04-25 17:18:12,54.4338,10.63507,0.168452673929097,96.1869419415457,GOOD
298,2023-04-25 17:23:12,54.43385,10.63577,0.152507196932509,81.6841768085377,GOOD
298,2023-04-25 17:28:13,54.43383,10.63644,0.144595452243062,91.6002498182248,GOOD
298,2023-04-25 17:33:14,54.43378,10.63723,0.171270773449137,94.864556944896,GOOD
298,2023-04-25 17:53:16,54.43373,10.64037,0.0244735524360926,51.3444371746416,GOOD
298,2023-04-25 17:58:26,54.43409,10.64129,0.231883262412743,54.7945296984469,GOOD
298,2023-04-25 18:03:22,54.43402,10.64223,0.207695326492031,95.9439346751234,GOOD
298,2023-04-25 18:13:48,54.43392,10.64406,0.190481694788729,94.0182782035519,GOOD
298,2023-04-25 18:18:18,54.43411,10.64472,0.176864884837149,62.381299515481,GOOD
298,2023-04-25 18:28:24,54.43402,10.64612,0.150784290272209,94.9542000201558,GOOD
298,2023-04-25 18:33:21,54.43399,10.64668,0.122838457510707,93.9110395597924,GOOD
